like,money,name,progress,time
268,￥2520280,黑科技镀膜-1喷秒变新车,2520%,33天
124,￥400005,爱杯葡萄酒智能保鲜机,400%,22天
709,￥10953518,减肚子健身器 智能肌肉训练仪,5477%,8天
35,￥113009,解放双手360°护龈洁牙器,113%,37天
511,￥389148,黑眼微豆WIFI微型摄像机,389%,11天
404,￥1082373,颈椎不适 多功能智能按摩仪,1082%,7天
1千,￥370160,放倒爱飞机杯，5D通道革命,370%,7天
583,￥353957,陌陌玻尿酸避孕套 越啪越爱,354%,10天
1千,￥650475,高潮促进液 体验非一般高潮,650%,8天
371,￥184503,睿豆孕妈陪伴机器人,185%,41天
2千,￥765404,卤素灯终结者-灯小亮LED大灯,765%,6天
6千,￥1639079,全面屏流媒体快装智能后视镜,820%,7天
331,￥263350,飞傲M7便携无损音乐播放器,53%,30天
89,￥401895,优必选个性化智能教育机器人,402%,7天
72,￥344970,OVC重低音双动圈降噪耳机,345%,12天
14,￥222856,只需3步，告别打鼾困扰,223%,18天
13,￥109464,汇馨享百变智能创意台灯,109%,45天
150,￥2672604,骏派A50 智尚·至简,2673%,24天
3千,￥574467,RELX创新换弹雾化电子烟,574%,19天
2千,￥339202,超清无雾黑科技，玻璃防雾剂,339%,31天
35,￥75210,花小鱼|水晶鱼缸,75%,34天
433,￥78000,攀高暖宫宝 月月都轻松,78%,24天
78,￥158948,语易VR英语口语学习机,159%,7天
406,￥123656,EP 能量灯当美学遇见科学,124%,17天
40,￥2188244,新骏派D60 越值上市,2188%,9天
1千,￥413288,净新侠，净鞋除臭新革命,413%,7天
29,￥192965,全自动变频抚摸式撸王杯,193%,8天
1千,￥247680,净趣深紫外消毒器 杀菌神器,248%,3天
73,￥164178,先河私有云服务器,82%,35天
466,￥485077,ZMI-紫米快速无线充,485%,14天
606,￥776680,年轻时尚智能手表D1,777%,16天
92,￥31888,魅豹颈椎仪，新年颈椎新革命,32%,31天
1千,￥755301,Gomtel健康监护手表,755%,7天
3,￥15789,蓝牙智能多功能水杯,16%,36天
1千,￥112953,MM哒智能魔力休闲按摩贴,113%,34天
88,￥35278,足浴足疗一体机，颠覆的享受,35%,33天
20,￥83699,枪王水牙枪-激活口腔快感,84%,17天
629,￥145400,电瓶卫士：让电瓶永不亏电,145%,29天
4,￥3849,海氏海诺石墨烯003避孕套,4%,33天
1千,￥448002,烯世纪功能养护文胸 ,448%,26天
48,￥231495,多功能便携洗牙器-PLUS,231%,17天
69,￥172868,LED灯塔TWS无线音箱,173%,7天
13,￥214109,除甲醛黑科技-盖锐除醛粉,214%,20天
14,￥16308,90后标配的养生安全套,16%,36天
1千,￥204737,MAKER-Mio 机器人,205%,9天
17,￥6387,西班牙纳米银智能恒湿加湿器,6%,23天
81,￥49685,智平衡 — 稳如磐石平衡车,50%,18天
24,￥224000,APEX1纳米水离子吹风机,224%,32天
94,￥28401,烯时代护腰，10秒腰轻松,28%,33天
162,￥39858,声物按摩枕，革命性按摩体验,40%,19天
15,￥16771,德邦电弧光点火器,17%,37天
1千,￥201762,米梭无线APP可视门铃,202%,8天
20,￥107624,双4G儿童智能教育手表电话,108%,22天
824,￥165512,4D人手抓捏夹揉按摩披肩,166%,35天
269,￥199448,沙芬星空电子烟,199%,23天
19,￥6125,怪古6号风球加湿香薰小台扇,6%,4天
36,￥40624,博康云药盒,27%,27天
22,￥109341,雪莱特DSP车用音响功放,109%,22天
548,￥125608,KDX新风防霾口罩,126%,8天
126,￥35854,康佳幻影3D游戏手机,36%,21天
1千,￥121934,昱美智能晾衣机语音款,122%,16天
25,￥130377,淳声，发烧级TWS无线耳机,130%,9天
3千,￥105080,臭臭麻麻家用温馨宠物梳毛器,105%,8天
722,￥108940,绿捷如意多功能音乐茶盘,109%,26天
120,￥118090,大与多功能德国炉,118%,10天
1千,￥179872,比沃斯加湿空气净化器,180%,26天
290,￥82858,北通游戏手柄猎魂觉醒版,166%,7天
7,￥1685,魅指智能安全指纹锁,2%,22天
4,￥23383,Ola X 互联版智能锁,23%,53天
5,￥24583,视易家庭影K娱乐系统,6%,51天
46,￥15,哈苏X1D户外摄影套装,0%,16天
11,￥21637,VEVA无线充电蓝牙音响,22%,29天
49,￥117647,爱园艺植物保姆,118%,9天
3,￥2045,兮春情趣小黑气囊深喉飞机杯,2%,53天
4,￥7191,不用水的远红外线熏蒸足浴桶,7%,31天
10,￥1150,美容牙刷，美颜洁牙新科技,1%,34天
8,￥285201,便洁宝智能马桶盖-大健康,285%,15天
5,￥102,三诺分钟诊所-慢病管理系统,0%,37天
34,￥18329,Wewow极稳拍摄稳定器,18%,7天
46,￥57408,一款让你深度睡眠的ASMR,57%,4天
761,￥304576,英国克里特KRETA手机,305%,12天
1千,￥11536345,基于区块链的家庭云存储,2307%,15天
115,￥157944,K8多功能智能手表,158%,16小时
325,￥905863,AIHI体感独轮平衡车,906%,1小时
59,￥5165058,云景空气净化呼吸式新风机,2583%,29天
138,￥126547,柔软冰火内胆美人鱼飞机杯,127%,23天
